;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 26/02/2016 17:42:36
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x2E78      	GOTO       1656
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1683      	BSF        STATUS, 5
0x0008	0x00CF      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x1283      	BCF        STATUS, 5
0x000B	0x00EF      	MOVWF      ___savePCLATH
0x000C	0x018A      	CLRF       PCLATH
0x000D	0x0870      	MOVF       R0, 0
0x000E	0x00A6      	MOVWF      38
0x000F	0x0871      	MOVF       R1, 0
0x0010	0x00A5      	MOVWF      37
0x0011	0x0872      	MOVF       R2, 0
0x0012	0x00A4      	MOVWF      36
0x0013	0x0874      	MOVF       R4, 0
0x0014	0x00A3      	MOVWF      35
0x0015	0x087B      	MOVF       R11, 0
0x0016	0x00A2      	MOVWF      34
0x0017	0x087C      	MOVF       R12, 0
0x0018	0x00A1      	MOVWF      33
0x0019	0x087D      	MOVF       R13, 0
0x001A	0x00A0      	MOVWF      32
;pru blue.c,104 :: 		void interrupt() {
;pru blue.c,105 :: 		if (INTCON.TMR0IF) {
0x001B	0x1D0B      	BTFSS      INTCON, 2
0x001C	0x2855      	GOTO       L_interrupt104
;pru blue.c,106 :: 		counter++;
0x001D	0x1683      	BSF        STATUS, 5
0x001E	0x0ACD      	INCF       _counter, 1
0x001F	0x1903      	BTFSC      STATUS, 2
0x0020	0x0ACE      	INCF       _counter+1, 1
;pru blue.c,107 :: 		if (counter == 1000) {
0x0021	0x084E      	MOVF       _counter+1, 0
0x0022	0x3A03      	XORLW      3
0x0023	0x1D03      	BTFSS      STATUS, 2
0x0024	0x2827      	GOTO       L__interrupt136
0x0025	0x30E8      	MOVLW      232
0x0026	0x064D      	XORWF      _counter, 0
L__interrupt136:
0x0027	0x1D03      	BTFSS      STATUS, 2
0x0028	0x283D      	GOTO       L_interrupt105
;pru blue.c,108 :: 		counter =0;
0x0029	0x01CD      	CLRF       _counter
0x002A	0x01CE      	CLRF       _counter+1
;pru blue.c,109 :: 		segundos++;
0x002B	0x1283      	BCF        STATUS, 5
0x002C	0x0AEE      	INCF       _segundos, 1
;pru blue.c,110 :: 		portb++;
0x002D	0x0A06      	INCF       PORTB, 0
0x002E	0x00F0      	MOVWF      R0
0x002F	0x0870      	MOVF       R0, 0
0x0030	0x0086      	MOVWF      PORTB
;pru blue.c,111 :: 		if (segundos == 60) {
0x0031	0x086E      	MOVF       _segundos, 0
0x0032	0x3A3C      	XORLW      60
0x0033	0x1D03      	BTFSS      STATUS, 2
0x0034	0x283D      	GOTO       L_interrupt106
;pru blue.c,112 :: 		segundos = 0;
0x0035	0x01EE      	CLRF       _segundos
;pru blue.c,113 :: 		minutos++;
0x0036	0x0AEC      	INCF       _minutos, 1
;pru blue.c,114 :: 		if (minutos == 60) {
0x0037	0x086C      	MOVF       _minutos, 0
0x0038	0x3A3C      	XORLW      60
0x0039	0x1D03      	BTFSS      STATUS, 2
0x003A	0x283D      	GOTO       L_interrupt107
;pru blue.c,115 :: 		minutos = 0;
0x003B	0x01EC      	CLRF       _minutos
;pru blue.c,116 :: 		horas++;
0x003C	0x0AEA      	INCF       _horas, 1
;pru blue.c,117 :: 		}
L_interrupt107:
;pru blue.c,118 :: 		}
L_interrupt106:
;pru blue.c,119 :: 		}
L_interrupt105:
0x003D	0x1283      	BCF        STATUS, 5
;pru blue.c,120 :: 		if (segundos==seg && minutos==minuto && horas==hora) {
0x003E	0x086E      	MOVF       _segundos, 0
0x003F	0x0665      	XORWF      _seg, 0
0x0040	0x1D03      	BTFSS      STATUS, 2
0x0041	0x2855      	GOTO       L_interrupt110
0x0042	0x086C      	MOVF       _minutos, 0
0x0043	0x0668      	XORWF      _minuto, 0
0x0044	0x1D03      	BTFSS      STATUS, 2
0x0045	0x2855      	GOTO       L_interrupt110
0x0046	0x086A      	MOVF       _horas, 0
0x0047	0x066D      	XORWF      _hora, 0
0x0048	0x1D03      	BTFSS      STATUS, 2
0x0049	0x2855      	GOTO       L_interrupt110
L__interrupt119:
;pru blue.c,121 :: 		alimentar(tama);
0x004A	0x086B      	MOVF       _tama, 0
0x004B	0x1683      	BSF        STATUS, 5
0x004C	0x00DD      	MOVWF      FARG_alimentar_tama
0x004D	0x25BF      	CALL       _alimentar
;pru blue.c,122 :: 		counter = 0;
0x004E	0x1683      	BSF        STATUS, 5
0x004F	0x01CD      	CLRF       _counter
0x0050	0x01CE      	CLRF       _counter+1
;pru blue.c,123 :: 		segundos = 0;
0x0051	0x1283      	BCF        STATUS, 5
0x0052	0x01EE      	CLRF       _segundos
;pru blue.c,124 :: 		minutos = 0;
0x0053	0x01EC      	CLRF       _minutos
;pru blue.c,125 :: 		horas = 0;
0x0054	0x01EA      	CLRF       _horas
;pru blue.c,126 :: 		}
L_interrupt110:
;pru blue.c,127 :: 		}
L_interrupt104:
;pru blue.c,128 :: 		INTCON.TMR0IF = 0;
0x0055	0x110B      	BCF        INTCON, 2
;pru blue.c,129 :: 		TMR0 = 130;
0x0056	0x3082      	MOVLW      130
0x0057	0x0081      	MOVWF      TMR0
;pru blue.c,130 :: 		}
L_end_interrupt:
L__interrupt135:
0x0058	0x0826      	MOVF       38, 0
0x0059	0x00F0      	MOVWF      R0
0x005A	0x0825      	MOVF       37, 0
0x005B	0x00F1      	MOVWF      R1
0x005C	0x0824      	MOVF       36, 0
0x005D	0x00F2      	MOVWF      R2
0x005E	0x0823      	MOVF       35, 0
0x005F	0x00F4      	MOVWF      R4
0x0060	0x0822      	MOVF       34, 0
0x0061	0x00FB      	MOVWF      R11
0x0062	0x0821      	MOVF       33, 0
0x0063	0x00FC      	MOVWF      R12
0x0064	0x0820      	MOVF       32, 0
0x0065	0x00FD      	MOVWF      R13
0x0066	0x086F      	MOVF       ___savePCLATH, 0
0x0067	0x008A      	MOVWF      PCLATH
0x0068	0x1683      	BSF        STATUS, 5
0x0069	0x0E4F      	SWAPF      ___saveSTATUS, 0
0x006A	0x0083      	MOVWF      STATUS
0x006B	0x0EFF      	SWAPF      R15, 1
0x006C	0x0E7F      	SWAPF      R15, 0
0x006D	0x0009      	RETFIE
; end of _interrupt
_Delay_5500us:
;__Lib_Delays.c,31 :: 		void Delay_5500us() {
;__Lib_Delays.c,32 :: 		Delay_us(5500);
0x006E	0x300F      	MOVLW      15
0x006F	0x1283      	BCF        STATUS, 5
0x0070	0x1303      	BCF        STATUS, 6
0x0071	0x00FC      	MOVWF      R12
0x0072	0x3047      	MOVLW      71
0x0073	0x00FD      	MOVWF      R13
L_Delay_5500us5:
0x0074	0x0BFD      	DECFSZ     R13, 1
0x0075	0x2874      	GOTO       L_Delay_5500us5
0x0076	0x0BFC      	DECFSZ     R12, 1
0x0077	0x2874      	GOTO       L_Delay_5500us5
0x0078	0x0000      	NOP
0x0079	0x0000      	NOP
;__Lib_Delays.c,33 :: 		}
L_end_Delay_5500us:
0x007A	0x0008      	RETURN
; end of _Delay_5500us
_Delay_1us:
;__Lib_Delays.c,7 :: 		void Delay_1us() {
;__Lib_Delays.c,8 :: 		Delay_us(1);
0x007B	0x0000      	NOP
0x007C	0x0000      	NOP
;__Lib_Delays.c,9 :: 		}
L_end_Delay_1us:
0x007D	0x0008      	RETURN
; end of _Delay_1us
_Delay_50us:
;__Lib_Delays.c,19 :: 		void Delay_50us() {
;__Lib_Delays.c,20 :: 		Delay_us(50);
0x007E	0x3021      	MOVLW      33
0x007F	0x1283      	BCF        STATUS, 5
0x0080	0x1303      	BCF        STATUS, 6
0x0081	0x00FD      	MOVWF      R13
L_Delay_50us2:
0x0082	0x0BFD      	DECFSZ     R13, 1
0x0083	0x2882      	GOTO       L_Delay_50us2
;__Lib_Delays.c,21 :: 		}
L_end_Delay_50us:
0x0084	0x0008      	RETURN
; end of _Delay_50us
_Delay_10us:
